result_id,event_title,edition_id,sport
18294,"Half-Heavyweight (≤72 kilograms), Women",24,Judo
62771,"50 kilometres Race Walk, Men",21,Athletics
354655,"Half-Middleweight (≤81 kilograms), Men",59,Judo
395879,"Team, Men",59,Table Tennis
7150,"400 metres Freestyle, Women",21,Swimming
256193,"Kayak Fours, 500 metres, Women",24,Canoe Sprint
70805,"Team All-Around, Women",25,Artistic Gymnastics
356448,"Light-Welterweight (≤64 kilograms), Men",59,Boxing
64466,"4 x 100 metres Relay, Women",23,Athletics
159330,"Coxless Fours, Women",23,Rowing
65065,"400 metres, Women",24,Athletics
50270,"Individual, Men",25,Modern Pentathlon
63505,"Triple Jump, Men",22,Athletics
30251,"Lightweight (≤58 kilograms), Women",25,Weightlifting
52017,"Skeet, Men",26,Shooting
7778,"4 x 200 metres Freestyle Relay, Men",23,Swimming
38727,"Water Polo, Men",22,Water Polo
262970,"Water Polo, Women",53,Water Polo
63522,"Shot Put, Men",22,Athletics
46903,"Singles, Women",22,Table Tennis
257643,"400 metres Hurdles, Women",53,Athletics
18747,"Heavyweight (>100 kilograms), Men",25,Judo
131116,"Welterweight, Freestyle (≤74 kilograms), Men",23,Wrestling
311142,"Épée, Individual, Women",54,Fencing
8795,"1,500 metres Freestyle, Men",26,Swimming
8102,"4 x 100 metres Freestyle Relay, Men",24,Swimming
51819,"Small-Bore Rifle, Three Positions, 50 metres, Women",22,Shooting
63261,"100 metres, Men",22,Athletics
18115,"Half-Lightweight (≤52 kilograms), Women",24,Judo
37454,"Volleyball, Women",22,Volleyball
26311,"Welterweight (≤67 kilograms), Men",23,Boxing
159204,"Quadruple Sculls, Men",23,Rowing
19000451,"400 metres Hurdles, Men",61,Athletics
54243,"Platform, Men",22,Diving
185518,"Team, Open",26,Equestrian Eventing
261601,"200 metres Butterfly, Men",53,Swimming
261828,"4 x 100 metres Freestyle Relay, Women",53,Swimming
25155,"Light-Flyweight (≤48 kilograms), Men",21,Boxing
63764,"100 metres Hurdles, Women",22,Athletics
10681,"Windsurfer (Mistral), Men",25,Sailing
10702,"Two Person Dinghy (470), Men",25,Sailing
51770,"Sporting Pistol, 25 metres, Women",21,Shooting
353450,"Kayak Singles, 200 metres, Men",59,Canoe Sprint
51887,"Small-Bore Rifle, Prone, 50 metres, Men",24,Shooting
25185,"Flyweight (≤51 kilograms), Men",21,Boxing
158802,"Quadruple Sculls, Men",20,Rowing
54290,"Springboard, Women",25,Diving
302038,"Long Jump, Men",54,Athletics
18000772,"Trap, Team, Mixed",61,Shooting
26866,"Light-Heavyweight (≤81 kilograms), Men",24,Boxing
54288,"Synchronized Springboard, Men",25,Diving
354880,"Heavyweight (>100 kilograms), Men",59,Judo
37481,"Volleyball, Men",23,Volleyball
10106,"Windsurfer (Windglider), Men",21,Sailing
62862,"Triple Jump, Men",21,Athletics
19001120,"Individual, Men",61,Golf
7214,"200 metres Individual Medley, Women",21,Swimming
54264,"Springboard, Men",24,Diving
48441,"Doubles, Men",26,Table Tennis
19009416,"Heavyweight, Greco-Roman (≤97 kilograms), Men",61,Wrestling
15827,"Lightweight (≤71 kilograms), Men",20,Judo
19000083,"200 metres Backstroke, Men",61,Swimming
316234,"Lightweight (≤73 kilograms), Men",54,Judo
7337,"100 metres Breaststroke, Men",22,Swimming
158888,"Coxed Fours, Women",20,Rowing
105783,"Épée, Individual, Men",21,Fencing
30113,"Light-Heavyweight (≤83 kilograms), Men",24,Weightlifting
356152,"One Person Heavyweight Dinghy (Finn), Men",59,Sailing
35038,"Handball, Men",26,Handball
357200,"200 metres Freestyle, Women",59,Swimming
319027,"Double Sculls, Men",54,Rowing
257653,"3,000 metres Steeplechase, Women",53,Athletics
30178,"Lightweight (≤69 kilograms), Men",25,Weightlifting
16697,"Middleweight (≤86 kilograms), Men",22,Judo
351030,"Individual, Men",59,Golf
901261,"Taijiquan & Taijijuan, Men",53,Wushu
311360,"Foil, Team, Men",54,Fencing
30269,"Light-Heavyweight (≤69 kilograms), Women",25,Weightlifting
258770,"Kayak Doubles, 1,000 metres, Men",53,Canoe Sprint
258832,"Canadian Doubles, Slalom, Men",53,Canoe Slalom
155108,"Points Race, Men",26,Cycling Track
31149,"Beach Volleyball, Women",25,Beach Volleyball
115179,"Sabre, Team, Men",24,Fencing
359036,"800 metres, Women",59,Athletics
256132,"Canadian Singles, 1,000 metres, Men",24,Canoe Sprint
51835,"Air Rifle, 10 metres, Men",23,Shooting
332644,"Flyweight, Freestyle (≤48 kilograms), Women",54,Wrestling
113552,"Sabre, Team, Men",23,Fencing
185358,"Team, Open",21,Equestrian Jumping
359198,"Shot Put, Women",59,Athletics
129931,"Welterweight, Freestyle (≤74 kilograms), Men",22,Wrestling
19005916,"Featherweight (54-57 kilograms), Women",61,Boxing
19004900,"Sprint, Men",61,Cycling Track
261772,"200 metres Breaststroke, Women",53,Swimming
38777,"Water Polo, Men",23,Water Polo
263006,"Featherweight (≤62 kilograms), Men",53,Weightlifting
154794,"1,000 metres Time Trial, Men",24,Cycling Track
6756,"200 metres Freestyle, Men",20,Swimming
19000697,"400 metres, Women",61,Athletics
159695,"Eights, Women",25,Rowing
358653,"400 metres Hurdles, Men",59,Athletics
19005879,"Flyweight (48-51 kilograms), Women",61,Boxing
255835,"Kayak Fours, 1,000 metres, Men",22,Canoe Sprint
65610,"Decathlon, Men",25,Athletics
19008504,"Single Sculls, Women",61,Rowing
19000221,"1,500 metres Freestyle, Women",61,Swimming
8381,"400 metres Freestyle, Men",25,Swimming
185371,"Individual, Open",22,Equestrian Dressage
25137,"Heavyweight (>81 kilograms), Men",20,Boxing
70603,"Pommelled Horse, Men",22,Artistic Gymnastics
70687,"Individual All-Around, Men",24,Artistic Gymnastics
257222,"5,000 metres, Men",53,Athletics
19009133,"Horse Vault, Men",61,Artistic Gymnastics
70623,"Horse Vault, Women",22,Artistic Gymnastics
359080,"400 metres Hurdles, Women",59,Athletics
129525,"Heavyweight, Greco-Roman (≤100 kilograms), Men",21,Wrestling
358183,"Sabre, Individual, Women",59,Fencing
64031,"1,500 metres, Men",23,Athletics
64736,"110 metres Hurdles, Men",24,Athletics
10849,"Skiff (49er), Open",25,Sailing
18000339,"Combined, Women",61,Sport Climbing
64465,"10 kilometres Race Walk, Women",23,Athletics
7574,"400 metres Individual Medley, Women",22,Swimming
26496,"Super-Heavyweight (>91 kilograms), Men",23,Boxing
7995,"200 metres Freestyle, Men",24,Swimming
19001980,"Duet, Women",61,Artistic Swimming
64373,"200 metres, Women",23,Athletics
63804,"High Jump, Women",22,Athletics
70616,"Team All-Around, Women",22,Artistic Gymnastics
19001471,"Handball, Men",61,Handball
19000151,"400 metres Individual Medley, Men",61,Swimming
185405,"Individual, Open",23,Equestrian Dressage
19001870,"BMX, Men",61,Cycling BMX Racing
353472,"Kayak Doubles, 200 metres, Men",59,Canoe Sprint
316393,"Half-Middleweight (≤81 kilograms), Men",54,Judo
64629,"100 metres, Men",24,Athletics
256328,"Kayak Singles, 1,000 metres, Men",26,Canoe Sprint
302343,"200 metres, Men",54,Athletics
900788,"Middleweight (≤ 70 kilograms), Women",22,Taekwondo
257298,"Pole Vault, Men",53,Athletics
316000,"Extra-Lightweight (≤60 kilograms), Men",54,Judo
158952,"Coxless Fours, Men",21,Rowing
158822,"Coxed Pairs, Men",20,Rowing
262828,"Volleyball, Men",53,Volleyball
357302,"400 metres Individual Medley, Women",59,Swimming
310013,"Individual, Open",54,Equestrian Jumping
354218,"Beach Volleyball, Women",59,Beach Volleyball
64091,"20 kilometres Race Walk, Men",23,Athletics
8803,"100 metres Backstroke, Men",26,Swimming
353276,"Doubles, Men",59,Tennis
